"IDCLIENTE","NOMBREUSUARIO","IDMEMBRECIA","IDROL","IDPERSONA","ESTADO","CLAVEUSUARIO"
247,"Karol",1,1,247,"Inactivo",1234
248,"Esteban",2,2,248,"Activo",1234
249,"Diego",2,2,249,"Inactivo",1234
250,"Luis",3,3,250,"Activo",1234
251,"Bryan",1,1,251,"Activo",1234
252,"Karol",1,1,252,"Inactivo",1234
253,"Esteban",2,2,253,"Activo",1234
254,"Diego",2,2,254,"Inactivo",1234
255,"Luis",3,3,255,"Activo",1234
256,"Bryan",1,1,256,"Activo",1234
257,"Karol",1,1,257,"Inactivo",1234
258,"Esteban",2,2,258,"Activo",1234
259,"Diego",2,2,259,"Inactivo",1234
260,"Luis",3,3,260,"Activo",1234
261,"Bryan",1,1,261,"Activo",1234
262,"Karol",1,1,262,"Inactivo",1234
263,"Esteban",2,2,263,"Activo",1234
264,"Diego",2,2,264,"Inactivo",1234
265,"Luis",3,3,265,"Activo",1234
266,"Bryan",1,1,266,"Activo",1234
267,"Karol",2,2,267,"Inactivo",1234
268,"Esteban",2,2,268,"Activo",1234
269,"Diego",3,3,269,"Inactivo",1234
270,"Luis",1,1,270,"Activo",1234
271,"Bryan",1,1,271,"Activo",1234
272,"Karol",2,2,272,"Inactivo",1234
273,"Esteban",2,2,273,"Activo",1234
274,"Diego",3,3,274,"Inactivo",1234
275,"Luis",1,1,275,"Activo",1234
276,"Bryan",1,1,276,"Activo",1234
277,"Karol",2,2,277,"Inactivo",1234
278,"Esteban",2,2,278,"Activo",1234
279,"Diego",3,3,279,"Inactivo",1234
280,"Luis",1,1,280,"Activo",1234
281,"Bryan",1,1,281,"Activo",1234
282,"Karol",2,2,282,"Inactivo",1234
283,"Esteban",2,2,283,"Activo",1234
284,"Diego",3,3,284,"Inactivo",1234
285,"Luis",1,1,285,"Activo",1234
286,"Bryan",2,2,286,"Activo",1234
287,"Karol",2,2,287,"Inactivo",1234
288,"Esteban",3,3,288,"Activo",1234
289,"Diego",1,1,289,"Inactivo",1234
290,"Luis",1,1,290,"Activo",1234
291,"Bryan",2,2,291,"Activo",1234
292,"Karol",2,2,292,"Inactivo",1234
293,"Esteban",3,3,293,"Activo",1234
294,"Diego",1,1,294,"Inactivo",1234
295,"Luis",1,1,295,"Activo",1234
296,"Bryan",2,2,296,"Activo",1234
297,"Karol",2,2,297,"Inactivo",1234
298,"Esteban",3,3,298,"Activo",1234
299,"Diego",1,1,299,"Inactivo",1234
300,"Luis",1,1,300,"Activo",1234
301,"Bryan",1,1,301,"Activo",1234
302,"Karol",2,2,302,"Inactivo",1234
303,"Esteban",2,2,303,"Activo",1234
304,"Diego",3,3,304,"Inactivo",1234
305,"Luis",1,1,305,"Activo",1234
306,"Bryan",1,1,306,"Activo",1234
307,"Karol",2,2,307,"Inactivo",1234
308,"Esteban",2,2,308,"Activo",1234
309,"Diego",3,3,309,"Inactivo",1234
310,"Luis",1,1,310,"Activo",1234
311,"Bryan",1,1,311,"Activo",1234
312,"Karol",2,2,312,"Inactivo",1234
313,"Esteban",2,2,313,"Activo",1234
314,"Diego",3,3,314,"Inactivo",1234
315,"Luis",1,1,315,"Activo",1234
316,"Bryan",1,1,316,"Activo",1234
317,"Karol",2,2,317,"Inactivo",1234
318,"Esteban",2,2,318,"Activo",1234
319,"Diego",3,3,319,"Inactivo",1234
320,"Luis",1,1,320,"Activo",1234
321,"Bryan",2,2,321,"Activo",1234
322,"Karol",2,2,322,"Inactivo",1234
323,"Esteban",3,3,323,"Activo",1234
324,"Diego",1,1,324,"Inactivo",1234
325,"Luis",1,1,325,"Activo",1234
326,"Bryan",2,2,326,"Activo",1234
327,"Karol",2,2,327,"Inactivo",1234
328,"Esteban",3,3,328,"Activo",1234
329,"Diego",1,1,329,"Inactivo",1234
330,"Luis",1,1,330,"Activo",1234
331,"Bryan",2,2,331,"Activo",1234
332,"Karol",2,2,332,"Inactivo",1234
333,"Esteban",3,3,333,"Activo",1234
334,"Diego",1,1,334,"Inactivo",1234
335,"Luis",1,1,335,"Activo",1234
336,"Bryan",2,2,336,"Activo",1234
337,"Karol",2,2,337,"Inactivo",1234
338,"Esteban",3,3,338,"Activo",1234
339,"Diego",1,1,339,"Inactivo",1234
340,"Luis",1,1,340,"Activo",1234
341,"Bryan",2,2,341,"Activo",1234
342,"Karol",2,2,342,"Inactivo",1234
343,"Esteban",3,3,343,"Activo",1234
344,"Diego",1,1,344,"Inactivo",1234
345,"Luis",1,1,345,"Activo",1234
346,"Bryan",2,2,346,"Activo",1234
347,"Karol",2,2,347,"Inactivo",1234
348,"Esteban",3,3,348,"Activo",1234
349,"Diego",1,1,349,"Inactivo",1234
350,"Luis",1,1,350,"Activo",1234
351,"Bryan",2,2,351,"Activo",1234
352,"Karol",2,2,352,"Inactivo",1234
353,"Esteban",1,1,353,"Activo",1234
354,"Diego",2,2,354,"Inactivo",1234
355,"Luis",2,2,355,"Activo",1234
356,"Bryan",3,3,356,"Activo",1234
357,"Karol",1,1,357,"Inactivo",1234
358,"Esteban",1,1,358,"Activo",1234
359,"Diego",2,2,359,"Inactivo",1234
360,"Luis",2,2,360,"Activo",1234
361,"Bryan",3,3,361,"Activo",1234
362,"Karol",1,1,362,"Inactivo",1234
363,"Esteban",1,1,363,"Activo",1234
364,"Diego",2,2,364,"Inactivo",1234
365,"Luis",2,2,365,"Activo",1234
366,"Bryan",3,3,366,"Activo",1234
367,"Karol",1,1,367,"Inactivo",1234
368,"Esteban",1,1,368,"Activo",1234
369,"Diego",2,2,369,"Inactivo",1234
370,"Luis",2,2,370,"Activo",1234
371,"Bryan",3,3,371,"Activo",1234
372,"Karol",1,1,372,"Inactivo",1234
373,"Esteban",2,2,373,"Activo",1234
374,"Diego",2,2,374,"Inactivo",1234
375,"Luis",3,3,375,"Activo",1234
376,"Bryan",1,1,376,"Activo",1234
377,"Karol",1,1,377,"Inactivo",1234
378,"Esteban",2,2,378,"Activo",1234
379,"Diego",2,2,379,"Inactivo",1234
380,"Luis",3,3,380,"Activo",1234
381,"Bryan",1,1,381,"Activo",1234
382,"Karol",1,1,382,"Inactivo",1234
383,"Esteban",2,2,383,"Activo",1234
384,"Diego",2,2,384,"Inactivo",1234
385,"Luis",3,3,385,"Activo",1234
386,"Bryan",1,1,386,"Activo",1234
387,"Karol",1,1,387,"Inactivo",1234
388,"Esteban",2,2,388,"Activo",1234
389,"Diego",2,2,389,"Inactivo",1234
390,"Luis",3,3,390,"Activo",1234
391,"Bryan",1,1,391,"Activo",1234
392,"Karol",2,2,392,"Inactivo",1234
393,"Esteban",2,2,393,"Activo",1234
394,"Diego",3,3,394,"Inactivo",1234
395,"Luis",1,1,395,"Activo",1234
396,"Bryan",1,1,396,"Activo",1234
397,"Karol",2,2,397,"Inactivo",1234
398,"Esteban",2,2,398,"Activo",1234
399,"Diego",3,3,399,"Inactivo",1234
400,"Luis",1,1,400,"Activo",1234
401,"Bryan",1,1,401,"Activo",1234
402,"Karol",2,2,402,"Inactivo",1234
403,"Esteban",2,2,403,"Activo",1234
404,"Diego",3,3,404,"Inactivo",1234
405,"Luis",1,1,405,"Activo",1234
406,"Bryan",1,1,406,"Activo",1234
407,"Karol",1,1,407,"Inactivo",1234
408,"Esteban",2,2,408,"Activo",1234
409,"Diego",2,2,409,"Inactivo",1234
410,"Luis",3,3,410,"Activo",1234
411,"Bryan",1,1,411,"Activo",1234
412,"Karol",1,1,412,"Inactivo",1234
413,"Esteban",2,2,413,"Activo",1234
414,"Diego",2,2,414,"Inactivo",1234
415,"Luis",3,3,415,"Activo",1234
416,"Bryan",1,1,416,"Activo",1234
417,"Karol",1,1,417,"Inactivo",1234
418,"Esteban",2,2,418,"Activo",1234
419,"Diego",2,2,419,"Inactivo",1234
420,"Luis",3,3,420,"Activo",1234
421,"Bryan",1,1,421,"Activo",1234
422,"Karol",1,1,422,"Inactivo",1234
423,"Esteban",2,2,423,"Activo",1234
424,"Diego",2,2,424,"Inactivo",1234
425,"Luis",3,3,425,"Activo",1234
426,"Bryan",1,1,426,"Activo",1234
427,"Karol",2,2,427,"Inactivo",1234
428,"Esteban",2,2,428,"Activo",1234
429,"Diego",3,3,429,"Inactivo",1234
430,"Luis",1,1,430,"Activo",1234
431,"Bryan",1,1,431,"Activo",1234
432,"Karol",2,2,432,"Inactivo",1234
433,"Esteban",2,2,433,"Activo",1234
434,"Diego",3,3,434,"Inactivo",1234
435,"Luis",1,1,435,"Activo",1234
436,"Bryan",1,1,436,"Activo",1234
437,"Karol",2,2,437,"Inactivo",1234
438,"Esteban",2,2,438,"Activo",1234
439,"Diego",3,3,439,"Inactivo",1234
440,"Luis",1,1,440,"Activo",1234
441,"Bryan",1,1,441,"Activo",1234
442,"Karol",2,2,442,"Inactivo",1234
443,"Esteban",2,2,443,"Activo",1234
444,"Diego",3,3,444,"Inactivo",1234
445,"Luis",1,1,445,"Activo",1234
446,"Bryan",1,1,446,"Activo",1234
447,"Karol",2,2,447,"Inactivo",1234
448,"Esteban",2,2,448,"Activo",1234
449,"Diego",3,3,449,"Inactivo",1234
450,"Luis",1,1,450,"Activo",1234
451,"Bryan",1,1,451,"Activo",1234
452,"Karol",2,2,452,"Inactivo",1234
453,"Esteban",2,2,453,"Activo",1234
454,"Diego",3,3,454,"Inactivo",1234
455,"Luis",1,1,455,"Activo",1234
456,"Bryan",1,1,456,"Activo",1234
457,"Karol",2,2,457,"Inactivo",1234
458,"Esteban",2,2,458,"Activo",1234
459,"Diego",1,1,459,"Inactivo",1234
460,"Luis",2,2,460,"Activo",1234
461,"Bryan",2,2,461,"Activo",1234
462,"Karol",3,3,462,"Inactivo",1234
463,"Esteban",1,1,463,"Activo",1234
464,"Diego",1,1,464,"Inactivo",1234
465,"Luis",2,2,465,"Activo",1234
466,"Bryan",2,2,466,"Activo",1234
467,"Karol",3,3,467,"Inactivo",1234
468,"Esteban",1,1,468,"Activo",1234
469,"Diego",1,1,469,"Inactivo",1234
470,"Luis",2,2,470,"Activo",1234
471,"Bryan",2,2,471,"Activo",1234
472,"Karol",3,3,472,"Inactivo",1234
473,"Esteban",1,1,473,"Activo",1234
474,"Diego",1,1,474,"Inactivo",1234
475,"Luis",2,2,475,"Activo",1234
476,"Bryan",2,2,476,"Activo",1234
477,"Karol",3,3,477,"Inactivo",1234
478,"Esteban",1,1,478,"Activo",1234
479,"Diego",2,2,479,"Inactivo",1234
480,"Luis",2,2,480,"Activo",1234
481,"Bryan",3,3,481,"Activo",1234
482,"Karol",1,1,482,"Inactivo",1234
483,"Esteban",1,1,483,"Activo",1234
484,"Diego",2,2,484,"Inactivo",1234
485,"Luis",2,2,485,"Activo",1234
486,"Bryan",3,3,486,"Activo",1234
487,"Karol",1,1,487,"Inactivo",1234
488,"Esteban",1,1,488,"Activo",1234
489,"Diego",2,2,489,"Inactivo",1234
490,"Luis",2,2,490,"Activo",1234
491,"Bryan",3,3,491,"Activo",1234
492,"Karol",1,1,492,"Inactivo",1234
493,"Esteban",1,1,493,"Activo",1234
494,"Diego",2,2,494,"Inactivo",1234
495,"Luis",2,2,495,"Activo",1234
496,"Bryan",3,3,496,"Activo",1234
497,"Karol",1,1,497,"Inactivo",1234
498,"Esteban",2,2,498,"Activo",1234
499,"Diego",2,2,499,"Inactivo",1234
500,"Luis",3,3,500,"Activo",1234
501,"Bryan",1,1,501,"Activo",1234
502,"Karol",1,1,502,"Inactivo",1234
503,"Esteban",2,2,503,"Activo",1234
504,"Diego",2,2,504,"Inactivo",1234
505,"Luis",3,3,505,"Activo",1234
506,"Bryan",1,1,506,"Activo",1234
507,"Karol",1,1,507,"Inactivo",1234
508,"Esteban",2,2,508,"Activo",1234
509,"Diego",2,2,509,"Inactivo",1234
510,"Luis",3,3,510,"Activo",1234
511,"Bryan",1,1,511,"Activo",1234
512,"Karol",1,1,512,"Inactivo",1234
513,"Esteban",1,1,513,"Activo",1234
514,"Diego",2,2,514,"Inactivo",1234
515,"Luis",2,2,515,"Activo",1234
516,"Bryan",3,3,516,"Activo",1234
517,"Karol",1,1,517,"Inactivo",1234
518,"Esteban",1,1,518,"Activo",1234
519,"Diego",2,2,519,"Inactivo",1234
520,"Luis",2,2,520,"Activo",1234
521,"Bryan",3,3,521,"Activo",1234
522,"Karol",1,1,522,"Inactivo",1234
523,"Esteban",1,1,523,"Activo",1234
524,"Diego",2,2,524,"Inactivo",1234
525,"Luis",2,2,525,"Activo",1234
526,"Bryan",3,3,526,"Activo",1234
527,"Karol",1,1,527,"Inactivo",1234
528,"Esteban",1,1,528,"Activo",1234
529,"Diego",2,2,529,"Inactivo",1234
530,"Luis",2,2,530,"Activo",1234
531,"Bryan",3,3,531,"Activo",1234
532,"Karol",1,1,532,"Inactivo",1234
533,"Esteban",2,2,533,"Activo",1234
534,"Diego",2,2,534,"Inactivo",1234
535,"Luis",3,3,535,"Activo",1234
536,"Bryan",1,1,536,"Activo",1234
537,"Karol",1,1,537,"Inactivo",1234
538,"Esteban",2,2,538,"Activo",1234
539,"Diego",2,2,539,"Inactivo",1234
540,"Luis",3,3,540,"Activo",1234
541,"Bryan",1,1,541,"Activo",1234
542,"Karol",1,1,542,"Inactivo",1234
543,"Esteban",2,2,543,"Activo",1234
544,"Diego",2,2,544,"Inactivo",1234
545,"Luis",3,3,545,"Activo",1234
546,"Bryan",1,1,546,"Activo",1234
547,"Karol",1,1,547,"Inactivo",1234
548,"Esteban",2,2,548,"Activo",1234
549,"Diego",2,2,549,"Inactivo",1234
550,"Luis",3,3,550,"Activo",1234
551,"Bryan",1,1,551,"Activo",1234
552,"Karol",1,1,552,"Inactivo",1234
553,"Esteban",2,2,553,"Activo",1234
554,"Diego",2,2,554,"Inactivo",1234
555,"Luis",3,3,555,"Activo",1234
556,"Bryan",1,1,556,"Activo",1234
557,"Karol",1,1,557,"Inactivo",1234
558,"Esteban",2,2,558,"Activo",1234
559,"Diego",2,2,559,"Inactivo",1234
560,"Luis",3,3,560,"Activo",1234
561,"Bryan",1,1,561,"Activo",1234
562,"Karol",1,1,562,"Inactivo",1234
563,"Esteban",2,2,563,"Activo",1234
564,"Diego",2,2,564,"Inactivo",1234
565,"Luis",1,1,565,"Activo",1234
566,"Bryan",2,2,566,"Activo",1234
567,"Karol",2,2,567,"Inactivo",1234
568,"Esteban",3,3,568,"Activo",1234
569,"Diego",1,1,569,"Inactivo",1234
570,"Luis",1,1,570,"Activo",1234
571,"Bryan",2,2,571,"Activo",1234
572,"Karol",2,2,572,"Inactivo",1234
573,"Esteban",3,3,573,"Activo",1234
574,"Diego",1,1,574,"Inactivo",1234
575,"Luis",1,1,575,"Activo",1234
576,"Bryan",2,2,576,"Activo",1234
577,"Karol",2,2,577,"Inactivo",1234
578,"Esteban",3,3,578,"Activo",1234
579,"Diego",1,1,579,"Inactivo",1234
580,"Luis",1,1,580,"Activo",1234
581,"Bryan",2,2,581,"Activo",1234
582,"Karol",2,2,582,"Inactivo",1234
583,"Esteban",3,3,583,"Activo",1234
584,"Diego",1,1,584,"Inactivo",1234
585,"Luis",2,2,585,"Activo",1234
586,"Bryan",2,2,586,"Activo",1234
587,"Karol",3,3,587,"Inactivo",1234
588,"Esteban",1,1,588,"Activo",1234
589,"Diego",1,1,589,"Inactivo",1234
590,"Luis",2,2,590,"Activo",1234
591,"Bryan",2,2,591,"Activo",1234
592,"Karol",3,3,592,"Inactivo",1234
593,"Esteban",1,1,593,"Activo",1234
594,"Diego",1,1,594,"Inactivo",1234
595,"Luis",2,2,595,"Activo",1234
596,"Bryan",2,2,596,"Activo",1234
597,"Karol",3,3,597,"Inactivo",1234
598,"Esteban",1,1,598,"Activo",1234
599,"Diego",1,1,599,"Inactivo",1234
600,"Luis",2,2,600,"Activo",1234
601,"Bryan",2,2,601,"Activo",1234
602,"Karol",3,3,602,"Inactivo",1234
603,"Esteban",1,1,603,"Activo",1234
604,"Diego",2,2,604,"Inactivo",1234
605,"Luis",2,2,605,"Activo",1234
606,"Bryan",3,3,606,"Activo",1234
607,"Karol",1,1,607,"Inactivo",1234
608,"Esteban",1,1,608,"Activo",1234
609,"Diego",2,2,609,"Inactivo",1234
610,"Luis",2,2,610,"Activo",1234
611,"Bryan",3,3,611,"Activo",1234
612,"Karol",1,1,612,"Inactivo",1234
613,"Esteban",1,1,613,"Activo",1234
614,"Diego",2,2,614,"Inactivo",1234
615,"Luis",2,2,615,"Activo",1234
616,"Bryan",3,3,616,"Activo",1234
617,"Karol",1,1,617,"Inactivo",1234
618,"Esteban",1,1,618,"Activo",1234
619,"Diego",1,1,619,"Inactivo",1234
620,"Luis",2,2,620,"Activo",1234
621,"Bryan",2,2,621,"Activo",1234
622,"Karol",3,3,622,"Inactivo",1234
623,"Esteban",1,1,623,"Activo",1234
624,"Diego",1,1,624,"Inactivo",1234
